,homepos,cultposs,hedres,wealth,ictres,joyread,screadcomp,screaddiff,pisadiff,emosups,disclima,teachsup,dirins,stimread,adaptivity,teachint,perfeed,percomp,percoop,attlnact,compete,workmast,gfofail,eudmo,swbp,resilience,mastgoal,discrim,belong,beingbullied,infocar,infojob1,infojob2,escs,privatesch,schltype,stratio,schsize,totat,proatce,proat5ab,proat5am,proat6,clsize,creactiv,edushort,staffshort,stubeha,teachbeha,math,scie,read
0,-0.8374,-1.7576,-0.9779,-0.471,-0.349,0.5572,-0.825,-0.0697,0.2705,-1.0657,0.4922,0.7015,-0.3275,-0.62,-1.4494,0.2182,-1.6391,0.1254,0.6012,-0.6583,1.2643,1.1448,1.0944,0.2621,0.5012,0.0494,-1.3162,-1.1549,-0.8997,-0.7823,-0.0812,-0.9778,-0.1744,0.3572,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,609.2849,597.3111000000001,598.4150000000002
1,2.7697,1.9522,1.1793,2.3512,1.2943,-0.0996,-0.1056,-0.0697,-0.2888,-0.6576,1.0832,0.2048,0.0054,-1.3412,0.1067,0.6134,-1.1311,-0.043,0.6012,-0.6583,0.1956,-0.6545,0.1097,0.5454,0.1869,-0.144,-0.4347,-1.1549,-0.3184,0.7703,0.1264,0.6261,0.0968,1.8324,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,641.9132999999998,580.9458,563.6630000000001
2,0.9426,-0.2159,-0.1357,1.2248,0.3875,0.0127,-1.0985,0.795,1.6524,1.0346,2.0345,-0.3082,0.0544,-0.3302,-0.166,0.6134,-1.6391,1.3521,1.206,1.0844,0.7871,1.8164,0.4637,1.7411,1.2386,0.7251,1.4751,-0.172,0.9423,-0.7823,0.5854,-0.9778,1.4601,0.8913,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,573.5735000000002,502.30059999999986,516.7000999999998
3,-0.6207,-0.2771,-1.0752,-0.4267,-0.349,-0.2204,-1.0985,1.5959,1.9717,0.2169,-0.6495,1.314,0.3189,0.6153,0.1915,-0.2934,1.5844,-0.2309,-0.9391,0.0281,-0.2047,-1.4028,0.4637,-0.523,-0.5928,-1.0583,-0.5589,-0.2861,-0.6869,1.1211,0.1119,1.9988,1.4601,0.716,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,517.8524,521.9634,460.82613999999984
4,-0.0068,0.119,-1.4469,0.0721,-0.1536,-1.0727,-1.3543,1.5959,0.2705,1.0346,0.7767,0.7015,1.8202,0.5102,0.4572,0.9478,-1.023,1.563,1.6762,1.0844,0.4352,0.5493,-1.8939,1.0763,0.1038,1.6219,-1.2137,-0.3896,-0.1642,-0.7823,-0.3723,-0.9778,-1.4728,-0.7914,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,606.0296000000002,515.3353,500.12667999999985
5,-0.2896,0.269,0.0477,-0.542,-0.1536,0.6934,0.1222,0.409,0.4992,1.0346,0.871,0.6259,1.8202,-0.62,2.0073,1.8245,-1.023,1.563,0.6012,-2.5375,0.1956,1.8164,0.4637,-0.6723,1.2386,-0.0328,0.2342,-1.1549,-0.1939,-0.7823,0.3652,0.2662,0.2691,0.7182,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,576.1993,537.6613,550.9415399999998
6,1.0285,0.0082,-0.1357,1.0681,0.135,0.3252,0.1222,0.8207,1.2826,-0.6576,0.1026,-0.909,-1.0499,-0.7358,-1.4494,0.6797,-1.6391,1.4734,-0.5107,0.4667,0.6314,0.9982,0.052,0.147,-1.6203,-0.8579,0.8753,-0.2861,-1.385,1.1211,1.0104,-0.2917,1.4601,1.1468,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,546.0253,573.0372,529.9142800000002
7,0.7794,0.2836,1.1793,1.0603,1.2943,-0.3709,-0.849,0.409,0.8232,1.0346,-0.0424,-0.3971,-1.0493,1.1469,0.7368,0.6797,-0.9181,0.0866,0.6012,1.0844,0.7871,1.1448,-0.4342,1.7411,1.2386,1.217,1.8524,0.5881,0.6818,-0.7823,0.208,-0.0535,1.4601,-0.2867,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,554.5563,509.9338,478.41574
8,0.6161,-0.3471,-0.1357,0.9062,0.3875,0.8628,0.1222,0.409,0.5206,1.0346,1.1945,0.4522,1.8202,1.0741,1.323,0.9888,1.3195,0.6912,1.3256,1.0844,0.1956,0.6291,0.052,1.7411,0.1869,0.7872,0.3468,1.0904,0.9683,-0.7823,0.0771,0.2662,0.3419,1.3021,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,487.9661,499.6684,477.81309999999985
9,0.3174,1.9522,1.1793,-0.3104,-0.1536,0.9523,0.1222,-0.663,-0.7816,-0.6576,0.7843,0.3485,-0.0424,1.1884,2.0073,0.1744,0.3686,-1.1126,1.2992,-1.4117,-0.5707,1.8164,-1.8939,0.2621,1.2386,1.1262,0.8347,-1.1549,-0.6564,-0.7823,1.0104,1.9988,-0.164,0.0174,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,589.4993000000002,576.4603,598.0004799999998
10,1.0771,1.9522,1.1793,0.3813,0.0595,1.6946,1.2374,1.2658,1.2958,0.2127,-0.0424,0.7015,0.7198,1.0419,0.1067,0.1744,0.7743,2.0378,1.3256,-1.1507,1.2643,1.1448,1.8905,-0.1652,-0.5928,2.3693,0.9703,-1.1549,-0.6913,1.1625,0.9151,0.677,0.027,1.2676,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,604.2965,552.1812,548.7717199999997
11,-0.3999,-0.4233,0.1806,-0.5258,-0.044,0.1372,-1.4439,1.2421,0.9567,1.0346,0.4922,1.314,1.8202,-0.62,-0.5786,0.1744,-0.3253,0.6912,0.6012,-0.6583,-0.9792,-0.1015,-0.687,0.2621,0.5012,-0.0614,-0.4347,0.5881,-0.3184,-0.7823,-0.0117,-0.9778,-1.4728,0.5697,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,412.62550000000016,448.0757,421.64565999999985
12,0.2968,1.9522,1.1793,-0.3546,-0.3918,0.9908,0.1222,0.409,0.7192,1.0346,1.0573,-0.2023,0.2329,1.3517,0.5464,0.9888,-0.6555,-0.2309,1.6762,1.0844,0.3709,1.8164,-0.3799,0.2621,1.2386,-0.5182,1.4751,-0.1731,0.3241,-0.7823,0.7014,1.9988,-1.4728,-1.1779,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,586.0486999999998,608.863,581.34734
13,1.948,0.119,1.1793,1.2248,0.6901,0.5915,1.8839,-1.0064,-0.7816,-0.6576,0.5409,-0.2327,0.6525,1.4882,0.3669,0.1744,-1.6391,0.6912,0.6012,-1.6139,0.1956,-1.071,-1.4869,1.7411,-0.3236,1.59,1.1969,0.4636,-0.2799,-0.7823,0.695,1.9988,-1.4728,1.8030000000000002,public,Public,29.9111,1346.0,45.0,0.7222,0.0556,0.8778,0.0667,41-45 students,3.0,0.8006,1.0815,-0.0384,0.2266,556.3939,550.8384,513.21164
